qiskit,shp_reduced,multiedge,qiskit_dense,mhs_nonlinear,merging_states,mhs_nonlinear_alt,mhs_multi,test
26,526,323,26,249,302,216,109.0,
26,526,324,26,226,298,249,112.0,
26,530,313,26,261,299,208,89.0,
26,503,289,26,214,324,251,104.0,
26,530,287,26,244,303,211,133.0,
26,490,315,26,245,299,210,92.0,
26,525,360,26,245,299,215,66.0,
26,518,345,26,260,301,221,113.0,
26,479,312,26,227,298,218,68.0,
26,444,338,26,258,299,231,61.0,
26,463,334,26,244,306,220,108.0,
26,506,255,26,230,328,223,77.0,
26,470,290,26,259,326,250,121.0,
26,478,280,26,231,300,218,89.0,
26,473,287,26,244,297,250,100.0,
26,511,326,26,261,296,252,88.0,
26,530,308,26,243,296,290,74.0,
26,514,352,26,245,299,252,129.0,
26,507,324,26,225,299,221,68.0,
26,443,303,26,247,327,268,73.0,
26,424,289,26,259,300,227,103.0,
26,486,300,26,228,300,237,92.0,
26,428,311,26,243,303,253,65.0,
26,542,287,26,246,323,256,70.0,
26,516,255,26,241,323,253,54.0,
26,440,317,26,245,302,230,101.0,
26,461,345,26,243,301,219,64.0,
26,493,306,26,226,300,222,129.0,
26,517,287,26,214,297,232,68.0,
26,498,293,26,233,299,220,85.0,
26,464,341,26,246,303,212,90.0,
26,428,293,26,244,300,242,79.0,
26,561,285,26,263,300,252,94.0,
26,481,289,26,229,300,223,60.0,
26,503,280,26,244,326,235,85.0,
26,451,310,26,263,301,221,92.0,
26,637,250,26,242,300,237,102.0,
26,499,286,26,246,302,261,136.0,
26,478,316,26,226,300,240,81.0,
26,448,350,26,230,301,238,86.0,
26,520,310,26,245,302,219,79.0,
26,434,324,26,243,297,260,55.0,
26,521,295,26,245,302,242,75.0,
26,516,281,26,246,303,206,80.0,
26,481,384,26,244,300,233,74.0,
26,442,307,26,228,292,233,69.0,
26,521,392,26,244,301,241,86.0,
26,460,295,26,245,303,224,100.0,
26,468,281,26,233,299,222,115.0,
26,466,344,26,228,300,215,65.0,
26,508,324,26,244,298,231,103.0,
26,426,316,26,229,300,245,86.0,
26,548,316,26,244,300,234,65.0,
26,526,328,26,246,322,238,92.0,
26,456,285,26,244,302,253,147.0,
26,465,336,26,259,302,220,82.0,
26,457,350,26,215,298,225,117.0,
26,479,364,26,241,301,225,71.0,
26,521,305,26,242,301,250,60.0,
26,502,376,26,263,301,237,102.0,
26,493,370,26,247,298,250,73.0,
26,498,385,26,259,301,242,97.0,
26,472,300,26,242,302,245,90.0,
26,460,320,26,228,301,215,82.0,
26,452,295,26,231,300,208,68.0,
26,471,310,26,230,299,229,83.0,
26,517,325,26,226,298,225,64.0,
26,602,412,26,226,301,250,88.0,
26,425,313,26,246,299,225,115.0,
26,578,277,26,260,301,258,66.0,
26,492,301,26,233,322,233,98.0,
26,467,300,26,260,301,214,105.0,
26,558,286,26,246,321,227,82.0,
26,512,326,26,243,324,249,67.0,
26,439,319,26,243,301,231,93.0,
26,517,326,26,229,299,239,109.0,
26,510,298,26,245,299,287,70.0,
26,482,286,26,228,297,218,71.0,
26,519,288,26,246,294,214,117.0,
26,481,329,26,242,299,210,92.0,
26,514,287,26,232,302,253,76.0,
26,488,288,26,245,298,226,113.0,
26,471,286,26,244,299,208,72.0,
26,460,335,26,230,298,221,68.0,
26,440,288,26,242,321,234,84.0,
26,472,332,26,227,302,222,71.0,
26,444,305,26,258,297,208,88.0,
26,481,359,26,226,300,208,94.0,
26,480,286,26,244,300,251,92.0,
26,467,337,26,257,297,235,73.0,
26,442,293,26,249,322,218,90.0,
26,436,287,26,244,325,214,99.0,
26,493,295,26,228,298,248,67.0,
26,451,292,26,244,324,236,80.0,
26,447,322,26,246,299,217,82.0,
26,508,289,26,243,303,245,57.0,
26,448,286,26,241,300,235,82.0,
26,507,387,26,226,301,231,115.0,
26,500,326,26,243,300,223,78.0,
26,447,318,26,215,300,217,105.0,
26,574,288,26,244,299,265,54.0,
26,504,336,26,230,301,212,71.0,
26,563,320,26,259,299,260,72.0,
26,488,383,26,242,301,225,67.0,
26,470,325,26,245,302,226,65.0,
26,461,312,26,226,299,202,61.0,
26,442,348,26,247,300,265,82.0,
26,474,332,26,230,297,238,69.0,
26,450,315,26,241,301,253,117.0,
26,529,312,26,242,300,244,73.0,
26,448,303,26,243,326,240,69.0,
26,563,288,26,214,303,237,94.0,
26,522,349,26,228,300,233,76.0,
26,513,295,26,244,327,232,52.0,
26,582,285,26,241,301,250,56.0,
26,493,373,26,260,301,236,69.0,
26,462,360,26,259,301,235,130.0,
26,502,295,26,245,299,222,70.0,
26,426,326,26,261,304,234,92.0,
26,544,324,26,240,298,236,70.0,
26,495,315,26,228,302,239,92.0,
26,550,291,26,246,298,212,95.0,
26,463,344,26,243,299,229,94.0,
26,474,297,26,257,322,209,84.0,
26,471,318,26,245,325,216,113.0,
26,512,374,26,262,299,245,125.0,
26,520,324,26,240,299,218,90.0,
26,487,294,26,228,297,211,82.0,
26,439,354,26,229,303,211,103.0,
26,443,285,26,244,300,247,79.0,
26,439,341,26,258,296,236,96.0,
26,548,359,26,245,299,225,71.0,
26,476,406,26,228,300,219,79.0,
26,472,327,26,246,301,216,98.0,
26,554,344,26,244,302,216,104.0,
26,538,319,26,228,299,253,115.0,
26,557,332,26,244,301,216,118.0,
26,425,344,26,227,300,227,65.0,
26,467,289,26,245,298,249,62.0,
26,461,332,26,225,326,236,65.0,
26,452,285,26,242,301,224,61.0,
26,504,291,26,258,299,244,91.0,
26,531,286,26,223,322,235,71.0,
26,568,332,26,240,300,211,132.0,
26,502,391,26,258,303,211,96.0,
26,572,335,26,245,299,226,112.0,
26,516,323,26,229,301,238,121.0,
26,575,329,26,244,297,222,96.0,
26,543,315,26,246,324,218,114.0,
26,463,355,26,215,297,217,88.0,
26,475,292,26,214,303,220,93.0,
26,474,253,26,231,326,214,101.0,
26,511,397,26,212,297,256,58.0,
26,480,279,26,241,299,220,64.0,
