qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst
22,120,27,14,28,117,119
16,119,11,6,8,113,116
20,115,10,6,9,111,120
20,121,17,8,6,115,111
22,123,16,16,22,121,124
21,125,29,12,14,116,118
22,121,16,8,16,117,126
22,116,13,8,14,113,121
18,116,12,10,10,114,114
21,126,22,12,14,116,117
20,124,18,12,10,117,115
22,124,9,10,12,116,118
22,117,10,10,9,114,114
22,117,14,12,14,114,117
20,125,18,14,18,118,122
20,118,10,10,10,116,119
22,119,22,8,12,115,116
22,120,14,12,10,117,122
22,117,14,12,14,114,117
20,120,16,12,14,116,124
22,117,16,10,26,116,121
18,117,23,21,24,118,118
20,126,20,18,18,121,122
18,119,16,14,12,117,116
22,118,25,12,22,117,118
22,119,4,6,4,111,119
22,118,14,12,14,116,119
22,122,6,8,8,116,122
22,122,16,14,20,116,119
22,118,12,12,24,117,116
20,120,16,16,16,119,122
22,118,12,12,12,117,117
22,118,12,8,14,114,120
22,127,20,13,20,117,120
18,122,16,10,10,117,118
18,115,23,21,24,116,116
21,119,21,10,22,117,120
22,124,16,10,14,120,126
22,124,10,8,14,118,121
22,122,15,17,15,121,122
22,120,24,6,23,113,118
21,123,17,13,14,118,120
22,121,14,7,16,117,122
21,128,33,8,12,115,119
16,118,10,8,7,114,114
22,122,16,8,16,116,122
22,122,16,14,18,117,125
20,120,18,14,20,117,120
20,121,16,12,18,117,122
21,126,18,13,14,118,120
22,126,19,12,10,120,120
22,117,4,6,10,114,122
22,121,16,16,23,121,120
22,117,12,12,24,117,118
22,117,12,12,12,116,119
22,117,8,4,10,114,119
20,123,15,8,12,115,118
22,127,31,8,12,114,118
22,122,16,8,16,114,121
22,120,16,12,14,116,117
22,124,26,14,23,120,118
20,119,17,4,4,114,119
21,121,26,8,23,115,119
22,122,18,12,14,115,117
22,117,14,12,14,116,117
16,115,14,10,10,115,117
21,121,16,13,20,117,121
20,117,10,8,10,114,114
22,125,19,10,10,116,115
21,127,31,6,14,115,118
20,117,10,10,10,113,116
22,122,9,14,10,118,116
22,126,31,8,12,114,118
21,120,16,11,12,116,118
20,118,12,8,12,114,122
16,116,11,6,15,115,118
21,125,13,12,14,117,118
22,124,20,14,23,118,121
21,123,7,10,10,117,114
20,117,10,10,10,115,117
22,123,18,12,28,118,126
22,120,23,8,24,115,122
22,123,20,12,12,120,122
22,121,18,12,14,115,117
22,125,30,14,23,119,122
20,122,18,16,22,121,123
20,122,18,14,14,116,117
22,119,22,8,23,115,121
22,122,16,10,20,117,124
20,121,6,10,6,116,116
