qiskit,shp_reduced,multiedge,qiskit_dense
502,2972,3645,2621
502,2911,3370,2785
502,2987,3801,2331
502,3163,3473,3053
502,3206,3569,2212
502,2963,3453,2736
502,2871,3596,2175
502,2828,3784,2392
502,3146,3799,2322
502,2983,3632,2108
502,3061,3923,2593
502,3243,3680,2620
502,2861,3661,2358
502,2930,3533,2304
502,2969,3593,2222
502,3076,3720,2580
502,2903,3829,2441
502,3196,3855,2518
502,2991,3693,2355
502,2811,3868,2418
502,2958,3629,2538
502,2828,3503,2631
502,3143,3735,2616
502,2957,3468,2453
502,2945,3511,2549
502,3087,3804,2577
502,3027,3596,2430
502,3358,3369,3194
502,3118,4036,2431
502,2822,3380,2229
502,2888,3629,2103
502,3108,4093,2348
502,3120,3571,2053
502,2820,3623,2500
502,2692,3812,2640
502,2838,3923,2858
502,2896,3802,3086
502,3230,3731,2060
502,2778,3498,2209
502,3062,3691,2532
502,2616,3691,3099
502,2776,3975,2442
502,3079,3556,2530
502,2834,3571,1820
502,3047,3848,2434
502,3152,3687,2311
502,3155,3785,2687
502,3061,3685,2335
502,2940,3453,2785
502,3128,3754,2333
502,2941,3472,1813
502,2792,3486,2295
502,2883,3604,3059
502,2764,3680,2743
502,3078,3662,1953
502,2757,3682,2471
502,2926,3496,1985
502,3010,3731,2692
502,2754,3519,2474
502,2749,3465,2140
502,2808,4035,2057
502,2833,3979,2274
502,3447,3747,2570
502,3217,3214,2782
502,2902,3525,2144
502,2828,3256,2311
502,2789,3479,2132
502,3143,3677,2640
502,2767,3475,2039
502,2921,3475,2235
502,2914,3347,2486
502,2852,3826,3107
502,2800,3505,2737
502,3052,3612,2213
502,3101,3540,3197
502,3067,3581,2455
502,3213,3807,2803
502,2942,3723,2337
502,3063,3736,1998
502,3204,3989,2718
502,2833,3553,2417
502,3122,3991,2334
502,2591,3320,2582
502,3055,3879,2461
502,2989,3852,2909
502,2773,3841,2383
502,2888,3246,2803
502,3122,3574,2958
502,2986,3935,2626
502,3058,3326,2431
502,2743,3532,2277
502,3016,3923,2102
502,3026,3709,2381
502,3044,3892,2532
502,2857,3419,2577
502,2911,3302,2902
502,3353,3748,2335
502,2878,3641,2454
502,2910,3364,2242
502,3074,3466,3038
502,2980,4127,2393
502,2800,3795,2222
502,2915,3464,2385
502,3227,3675,2677
502,2911,3454,2497
502,3233,3887,3110
502,2965,4013,2607
502,2810,3897,2291
502,3185,3714,2635
502,2913,3507,2581
502,2873,3745,2432
502,3009,3488,2895
502,3018,3431,2454
502,2817,3561,2423
502,3369,3511,2286
502,2947,3765,2576
502,3010,3579,2626
502,3345,3961,2378
502,3056,3572,2257
502,3167,3441,2377
