qiskit,shp_reduced,qiskit_dense,multiedge
2026,4374,5879,5322
2026,4144,5081,5877
2026,4180,5290,4827
2026,4132,5493,5035
2026,3916,5116,5737
2026,4025,4739,4942
2026,4163,4887,4921
2026,4259,5777,5157
2026,3893,5639,5135
2026,4138,5530,5362
2026,4067,5558,5706
2026,3827,5865,5091
2026,3936,5143,5328
2026,4005,6069,5153
2026,3760,5656,5198
2026,4191,5502,5233
2026,4205,5108,5022
2026,4169,5406,5327
2026,3796,5059,5039
2026,3854,4953,5001
2026,3927,5522,4962
2026,3983,4893,5284
2026,3998,5256,5154
2026,4026,5001,5042
2026,4021,6202,5011
2026,4084,5212,5426
2026,3874,5404,5167
2026,3796,5649,5287
2026,3960,5429,5005
2026,3862,5276,5179
2026,3910,5022,5247
2026,4299,5373,5255
2026,4165,5205,5241
2026,4237,5341,5233
2026,4190,5208,4845
2026,3800,5352,5240
2026,3938,5091,5229
2026,4297,5404,5541
2026,4225,4895,5397
2026,4167,5336,5065
2026,4055,5386,5057
2026,4045,5521,4919
2026,4033,5185,5055
2026,4110,5115,5468
2026,3841,4954,4919
2026,4162,5418,5224
2026,4146,5354,4996
2026,4341,5197,5018
2026,3978,5652,5542
2026,3846,5309,4954
2026,3763,5351,5321
2026,4088,4876,5119
2026,3996,5351,5336
2026,4071,4970,4834
2026,4014,4874,5437
2026,4318,5795,5288
2026,4539,5770,5638
2026,4247,5271,5412
2026,4243,5235,4971
2026,3877,4980,4890
2026,3824,5785,5270
2026,4213,5027,5091
2026,4305,5123,5584
2026,3989,5721,5378
2026,4456,5574,4793
2026,4014,5163,5511
2026,3929,4827,5231
2026,4101,5358,5086
2026,3542,5386,5021
2026,3802,5339,5164
2026,4047,5549,5488
2026,4415,5326,4926
2026,4157,5464,4953
2026,3928,5118,5371
2026,4052,5970,5256
2026,3905,5860,5233
2026,4090,5258,5125
2026,4002,5873,5126
2026,3882,5377,4985
2026,4054,4736,5500
2026,4353,5157,5451
2026,3965,5307,4961
2026,3645,5309,4763
2026,3767,5450,5007
2026,4014,5579,4996
2026,4104,5329,4963
2026,4258,4998,4995
2026,3985,5570,5148
2026,4296,5514,5227
2026,3930,5566,5142
2026,4138,5592,5548
2026,4190,4474,5228
2026,4153,5312,5115
2026,3851,5488,5116
2026,4126,5635,4832
2026,4161,5473,5555
2026,4254,5225,5538
2026,4056,5336,5073
2026,4125,5718,4899
2026,4054,5058,5148
2026,4012,5891,4906
2026,3807,4720,5190
2026,4094,5363,5297
2026,3963,5218,5156
2026,4141,5402,5486
2026,4072,5576,5342
2026,3844,5273,5676
2026,4279,5283,5128
2026,4211,5765,6033
2026,3969,5775,5239
2026,4143,5460,4920
2026,3768,5204,5237
2026,3613,5428,5377
2026,3833,5455,5324
2026,4054,5338,5316
2026,4109,5152,5073
2026,3875,5276,5097
2026,4090,5095,5203
2026,3951,5232,5089
2026,3906,4734,5042
2026,4271,5605,5255
2026,4002,5570,4476
2026,4101,5258,4880
2026,4072,5340,5407
2026,4031,5474,5420
2026,4010,5352,5135
