qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst,random,random_reduced,graycode_reduced,gleinig,gleinig_qwalk,btree_qwalk,greedy_linear,hamming_weight_qwalk,greedy_insertion,brute_force_linear,greedy_tree
120,755,77,37,32,742,737,757,97,50,17,36,47,31,41,23,22,29
120,756,48,45,55,748,740,761,52,55,28,50,53,38,50,36,29,48
120,750,76,54,42,743,739,759,68,50,30,46,77,46,54,32,25,30
120,756,56,47,39,743,739,756,62,55,32,49,56,36,70,30,32,44
120,745,31,50,44,747,738,759,73,41,31,32,55,26,54,30,21,37
120,749,57,43,59,748,744,756,61,54,28,36,51,45,64,39,29,35
120,749,45,46,37,743,744,750,60,58,22,39,50,39,64,25,26,27
120,751,56,41,45,747,745,764,79,58,31,49,54,45,49,31,24,48
120,751,56,54,41,747,742,753,67,68,23,36,62,37,37,36,27,50
120,751,43,55,32,745,740,757,59,36,32,47,54,27,58,26,26,40
120,763,66,30,44,746,747,754,32,55,30,40,37,41,51,33,29,28
120,750,43,42,41,747,742,753,36,50,26,28,37,30,38,29,26,32
120,743,38,31,24,737,733,763,61,31,14,20,38,23,24,16,18,19
120,755,51,43,45,748,741,744,71,62,24,53,55,32,43,25,27,29
120,746,39,37,39,742,742,754,64,66,21,25,50,31,45,31,21,23
120,754,49,52,42,746,743,760,53,56,31,43,52,33,69,28,25,38
112,749,52,39,34,743,740,751,66,41,27,52,39,46,44,39,25,42
120,746,52,29,24,734,734,750,60,43,30,35,59,49,25,21,21,22
120,750,31,37,30,742,742,754,68,53,22,49,45,29,46,22,22,34
120,749,54,33,34,739,735,753,55,50,28,35,45,38,43,29,21,37
120,753,48,41,51,748,743,754,54,60,21,37,41,39,44,26,25,37
120,744,28,48,48,744,742,753,77,59,35,31,43,35,23,23,21,36
112,748,29,54,46,749,741,748,51,45,26,53,50,30,53,37,23,30
120,757,71,36,43,742,742,754,86,40,31,35,46,40,49,30,26,39
120,756,48,49,53,747,742,755,46,45,22,41,38,65,39,44,26,45
120,755,58,24,37,739,740,760,84,46,24,36,49,44,71,21,24,37
120,747,43,39,37,746,742,748,61,41,22,43,47,37,46,29,24,32
120,757,52,41,47,746,742,762,48,45,28,30,38,41,60,24,24,31
120,739,41,29,36,733,732,745,59,32,23,38,35,40,27,27,20,24
120,758,62,41,61,750,744,768,58,66,32,42,54,41,56,34,35,40
120,754,49,45,36,743,739,758,78,54,31,41,58,48,23,30,25,31
120,750,54,39,45,745,738,759,56,43,24,51,61,29,51,30,24,35
120,759,68,38,39,744,744,752,73,52,28,35,58,38,35,32,23,31
120,759,105,42,54,740,740,762,82,56,27,45,59,38,61,37,26,40
120,756,58,42,39,748,746,754,66,58,35,64,47,68,43,33,26,44
120,746,44,37,43,743,738,753,78,49,23,41,54,40,42,39,23,38
120,740,22,47,40,746,741,748,75,49,23,49,71,34,40,21,19,22
120,758,60,40,57,747,745,756,69,54,20,38,65,31,42,34,27,34
120,758,62,39,48,748,744,758,72,60,23,51,61,38,51,33,34,37
120,750,45,28,42,746,743,750,70,30,34,53,39,50,57,22,23,40
120,753,52,38,37,745,737,748,64,68,25,50,59,30,47,23,24,39
120,764,68,30,34,745,745,759,53,36,28,49,58,33,84,36,28,49
120,750,88,39,41,742,742,762,69,52,21,35,57,46,83,34,28,28
120,747,62,33,40,738,737,748,71,61,18,37,52,41,63,28,22,28
120,748,39,43,51,742,738,746,49,77,26,40,61,46,29,27,26,33
120,750,44,35,32,741,736,752,74,91,27,38,71,24,52,31,21,30
120,749,54,36,46,742,742,755,59,45,28,36,41,39,35,33,23,33
120,753,68,48,32,742,742,757,74,43,19,31,50,35,35,23,24,37
120,753,45,49,36,748,748,758,71,36,24,25,47,32,25,34,24,26
120,754,57,45,47,745,742,752,45,37,34,28,44,39,35,34,24,30
120,755,68,37,53,741,736,744,82,37,27,36,48,40,44,33,24,36
118,754,47,22,33,736,736,754,46,50,22,32,33,32,42,28,21,33
120,749,54,52,49,747,744,760,45,41,25,41,66,49,31,40,25,34
120,757,60,28,34,742,741,756,63,47,29,35,46,46,54,25,26,42
120,748,43,33,41,738,736,748,77,62,22,40,54,43,43,31,22,31
120,749,58,45,50,744,741,756,77,51,21,54,70,30,49,31,25,45
120,764,58,35,39,741,737,758,57,47,23,42,44,51,41,23,24,39
118,745,58,29,47,735,735,748,69,51,22,38,53,27,30,32,23,38
120,754,65,55,65,752,740,751,68,43,22,39,68,41,67,34,27,34
120,752,45,50,31,748,740,756,84,47,23,30,99,45,45,22,19,26
120,752,46,52,49,748,740,755,82,42,23,50,58,42,78,27,23,40
120,756,56,41,43,745,743,751,64,51,22,58,61,45,62,33,29,49
120,748,50,41,51,747,747,752,72,56,28,41,50,55,50,31,25,34
120,750,46,37,45,742,743,749,67,43,25,38,54,39,58,30,27,39
120,749,32,50,52,746,742,751,58,52,17,24,53,32,32,19,20,26
58,742,44,35,47,744,740,748,60,39,25,25,54,40,25,31,24,27
120,756,68,51,55,748,746,752,66,59,24,51,51,52,74,39,23,40
120,756,58,52,55,748,748,756,61,43,20,40,57,39,57,39,25,38
120,756,67,44,42,738,738,747,71,54,20,25,50,27,68,21,23,22
120,747,62,35,32,741,738,747,89,53,25,35,46,36,45,33,22,34
120,756,51,41,42,747,743,757,57,45,23,37,54,28,39,24,25,46
120,749,40,26,38,738,738,763,56,53,21,32,46,29,48,21,24,23
118,749,43,30,57,744,740,759,66,49,25,35,51,31,49,34,24,26
118,757,61,37,39,744,740,766,57,60,32,42,49,43,32,31,30,43
120,746,39,36,34,741,739,760,90,39,23,51,63,38,34,24,23,41
120,748,34,44,53,744,742,746,41,46,24,44,51,38,37,27,22,46
120,754,47,33,41,741,737,747,64,60,28,25,47,32,54,22,22,38
120,746,59,20,43,734,737,754,62,57,22,34,52,41,46,24,19,31
120,748,52,39,32,744,741,754,57,39,21,53,63,38,36,26,25,32
120,744,57,31,38,737,733,740,101,61,18,36,77,44,32,20,20,33
118,746,80,31,49,738,734,743,81,59,17,28,73,19,43,26,19,21
120,746,40,39,36,743,742,759,57,39,26,43,43,35,53,33,27,36
114,746,46,46,63,740,736,748,69,41,17,39,50,21,50,21,21,36
120,755,58,58,51,745,742,759,73,49,20,32,61,40,55,33,27,31
120,754,89,33,33,738,738,748,88,50,24,44,54,35,72,28,23,34
120,750,44,47,51,750,746,751,87,37,24,32,63,28,58,32,23,33
120,759,62,43,36,748,744,756,68,43,26,54,51,45,49,37,28,42
120,744,36,30,30,738,734,744,72,32,22,37,43,33,54,26,22,32
120,756,55,39,58,742,741,753,63,52,19,39,46,34,38,34,22,28
120,750,53,52,60,747,741,760,66,63,17,34,67,40,50,32,26,34
106,749,62,30,63,739,738,751,57,40,28,54,58,49,53,30,26,40
120,751,54,26,48,742,738,766,90,63,29,40,77,32,43,21,25,37
120,748,54,48,48,742,741,752,68,58,29,47,47,49,44,32,26,38
120,756,81,37,47,742,741,749,64,31,20,52,55,27,48,29,24,36
120,752,61,35,45,740,736,757,59,46,29,45,56,47,54,34,30,38
120,746,43,28,33,741,740,755,80,76,31,40,68,75,60,30,24,32
120,746,47,28,41,738,738,755,76,39,29,33,43,37,52,30,21,37
120,754,45,49,40,746,740,754,83,42,30,37,39,33,45,41,30,31
120,757,62,41,43,746,744,759,53,68,33,45,37,43,36,34,28,44
120,756,58,46,38,750,748,766,66,47,26,39,64,33,70,33,26,41
120,755,60,52,51,747,745,747,66,68,31,43,51,43,46,31,28,48
120,755,47,43,45,748,748,758,58,47,27,37,52,43,69,33,25,37
120,751,43,45,54,744,744,747,61,58,30,31,38,31,38,34,24,22
120,751,64,41,34,738,738,754,97,37,31,35,58,47,41,28,22,51
120,748,40,27,40,736,736,740,75,50,22,40,67,31,31,29,17,35
120,758,51,30,54,747,747,768,71,43,25,38,26,29,40,24,24,45
120,752,54,53,39,743,737,746,72,66,23,33,73,50,56,40,24,21
120,755,66,41,41,745,744,766,64,67,23,45,49,38,40,25,27,41
120,749,44,28,39,741,736,764,75,49,15,23,38,27,64,30,20,23
118,747,52,29,39,738,735,747,49,37,23,31,39,44,31,29,18,42
120,761,66,35,41,741,739,757,80,51,24,53,59,42,52,23,22,39
120,739,44,27,30,736,734,752,79,42,18,31,65,37,40,20,18,27
120,748,50,30,35,738,738,752,117,43,21,29,41,40,33,24,19,29
120,750,74,39,45,744,741,754,49,52,28,37,61,53,38,24,24,33
120,756,51,47,39,745,742,760,72,51,30,33,55,38,33,33,28,34
120,756,69,50,50,746,746,757,64,63,37,38,56,48,46,30,27,41
120,752,45,41,38,746,742,758,60,52,24,48,58,29,80,39,26,40
120,752,57,43,57,747,740,755,72,42,22,27,57,51,31,31,26,25
90,746,39,37,57,741,738,746,44,38,26,33,41,45,62,27,23,29
120,754,58,39,51,743,740,758,65,30,21,39,58,28,32,22,22,25
120,760,62,39,41,746,745,760,63,66,30,36,39,30,33,35,29,40
120,753,58,30,39,747,746,762,55,56,24,49,58,39,34,37,26,57
120,750,45,43,46,747,745,755,64,45,30,53,54,48,33,25,26,36
120,749,53,26,35,739,739,753,80,54,22,29,44,37,78,34,26,27
116,754,66,58,61,746,743,766,76,66,27,42,67,29,68,30,28,38
120,745,48,39,46,745,744,751,63,50,24,39,44,27,52,23,26,35
120,748,44,29,42,739,736,751,62,76,21,25,43,46,38,25,24,24
120,753,52,46,47,741,741,758,95,50,25,37,42,36,68,29,28,40
120,745,48,39,42,744,738,768,57,48,18,22,57,47,36,27,21,29
120,754,49,43,49,750,744,754,63,42,21,33,79,32,65,36,28,37
120,751,56,50,62,747,745,753,77,47,30,51,39,41,48,32,32,54
120,742,48,31,24,737,737,747,97,26,17,32,55,34,31,28,21,31
120,758,58,36,36,742,740,756,63,37,27,42,46,40,55,26,24,36
120,751,45,36,42,743,741,753,66,49,31,41,42,33,30,30,26,34
120,763,77,45,51,752,746,757,69,51,29,38,59,50,48,35,31,38
118,750,95,44,32,739,738,754,90,51,26,36,61,43,34,28,27,24
120,752,47,49,48,746,742,758,68,56,22,33,78,38,55,28,26,32
120,747,50,43,62,747,742,758,88,50,23,44,58,41,58,32,29,21
120,756,75,48,45,744,742,750,65,43,30,48,38,46,67,30,24,42
120,758,54,43,37,746,743,753,63,55,27,56,43,49,40,34,30,37
120,754,40,60,36,748,746,749,50,45,24,44,64,45,40,27,24,41
118,756,47,37,45,745,742,758,69,43,27,34,53,39,56,34,22,36
120,748,43,28,42,742,742,763,73,43,19,41,44,33,53,33,25,41
120,754,48,35,37,742,742,758,74,47,23,35,46,37,58,33,24,26
120,748,33,48,54,742,744,754,87,56,27,37,66,36,55,24,25,37
120,751,45,49,45,746,741,758,73,51,22,51,59,38,48,24,26,40
120,752,74,48,63,749,736,744,60,53,21,35,57,41,44,35,22,33
120,752,64,46,48,742,737,753,68,43,31,50,53,47,47,26,24,37
120,746,43,59,41,745,740,749,63,48,30,36,53,32,68,31,25,32
120,762,64,35,39,741,741,749,61,56,28,48,49,35,55,30,27,39
120,746,49,34,47,746,741,757,58,52,19,32,59,42,45,31,26,39
120,750,47,37,68,747,742,755,67,54,28,38,61,26,65,31,26,37
120,742,37,36,40,743,739,754,53,37,19,39,42,46,21,31,24,39
120,742,36,33,42,736,737,740,51,39,23,31,47,55,72,25,19,31
120,752,47,62,38,747,739,748,75,43,18,33,35,35,51,36,23,48
120,755,48,30,50,743,740,757,43,51,28,41,60,26,34,35,26,28
120,746,57,31,32,739,735,743,47,76,29,41,79,37,36,29,28,37
120,754,55,41,56,747,744,763,71,42,30,45,48,31,60,35,28,47
120,751,38,34,45,741,738,748,63,54,22,23,40,33,38,20,24,27
120,755,56,32,49,746,740,751,81,56,23,25,60,30,61,42,27,34
120,746,43,39,56,743,741,757,56,43,32,61,47,37,34,32,32,57
120,756,67,47,40,743,743,757,63,43,20,39,40,39,65,34,26,39
120,744,48,26,54,742,742,753,58,46,18,32,40,53,66,34,25,32
120,748,50,48,57,745,746,749,56,41,28,36,43,43,43,42,28,36
120,754,47,30,45,745,741,756,55,43,23,45,57,36,36,34,23,39
120,759,62,37,55,742,740,747,48,60,21,42,45,44,46,31,24,34
120,744,44,42,52,740,738,758,49,49,29,43,66,48,39,27,29,48
120,752,55,41,52,745,746,752,56,63,30,42,61,38,50,36,27,42
120,752,47,41,50,744,741,755,84,47,21,29,42,41,50,36,23,30
120,751,56,31,41,741,738,757,75,53,30,43,61,51,41,23,22,33
