qiskit,shp_reduced,multiedge,qiskit_dense,mhs_nonlinear,merging_states,mhs_nonlinear_alt,mhs_multi
120,1579,1495,841,618,721,645,
120,1390,1443,911,668,752,644,
120,1439,1314,795,664,715,611,
120,1352,1427,673,635,762,653,
120,1308,1424,927,607,709,676,
120,1425,1377,851,632,757,593,
120,1423,1616,757,695,755,658,
120,1309,1682,782,573,682,574,
120,1696,1482,844,687,774,665,
120,1305,1435,912,653,744,662,
120,1495,1541,789,610,715,645,
120,1426,1478,917,656,797,567,
120,1351,1642,746,750,768,681,
120,1485,1483,662,613,718,595,
120,1476,1575,687,632,724,607,
120,1251,1502,1024,578,751,665,
120,1467,1449,969,648,758,634,
120,1399,1413,1019,654,810,655,
120,1411,1477,672,661,785,645,
120,1318,1449,663,685,745,692,
120,1317,1465,590,649,744,619,
120,1539,1510,581,607,706,610,
120,1218,1419,847,656,739,641,
120,1456,1454,593,651,734,584,
120,1393,1311,647,586,679,630,
120,1509,1524,972,638,748,653,
120,1368,1468,690,675,728,624,
120,1404,1607,756,727,739,695,
120,1209,1521,868,672,768,596,
120,1393,1369,722,682,768,663,
120,1292,1522,840,667,716,584,
120,1477,1203,739,614,710,599,
120,1359,1349,749,645,734,632,
120,1461,1276,563,555,681,606,
120,1392,1370,642,539,707,656,
120,1459,1294,583,660,756,627,
120,1357,1367,773,685,773,689,
120,1286,1348,955,722,770,611,
120,1483,1416,968,617,800,621,
120,1370,1284,749,625,737,613,
120,1530,1249,743,667,707,561,
120,1426,1567,668,545,745,592,
120,1209,1433,590,628,733,721,
120,1524,1425,833,690,743,604,
120,1365,1310,701,606,695,571,
120,1498,1306,609,636,720,612,
120,1342,1343,749,641,735,589,
120,1375,1694,1000,617,778,662,
120,1390,1460,856,611,724,685,
120,1264,1307,641,625,692,600,
120,1471,1403,800,617,741,637,
120,1300,1240,639,645,739,645,
120,1552,1625,982,685,773,621,
120,1453,1300,1033,705,776,658,
120,1445,1189,722,654,808,625,
120,1398,1288,910,586,751,597,
120,1428,1612,851,627,723,740,
120,1443,1343,717,635,750,610,
120,1578,1606,751,675,785,638,
120,1522,1656,771,582,704,609,
120,1503,1383,871,711,814,578,
120,1378,1492,856,667,749,600,
120,1374,1451,601,661,706,649,
120,1293,1382,597,630,750,579,
120,1452,1363,887,590,745,677,
120,1602,1475,555,656,713,579,
120,1471,1476,523,605,690,619,
120,1424,1408,529,600,750,592,
120,1536,1349,742,626,783,687,
120,1423,1427,897,654,729,640,
120,1520,1360,678,626,771,676,
120,1563,1382,583,633,757,614,
120,1467,1479,580,642,742,612,
120,1320,1608,982,691,718,634,
120,1484,1494,928,647,705,629,
120,1504,1350,905,613,718,623,
120,1584,1384,695,658,745,681,
120,1344,1534,993,648,712,621,
120,1536,1500,776,656,752,670,
120,1365,1404,755,592,718,657,
120,1429,1408,680,627,741,644,
120,1498,1559,833,654,738,637,
120,1600,1482,779,626,750,663,
120,1304,1253,630,605,689,684,
120,1481,1537,825,661,718,687,
120,1387,1341,740,697,772,584,
120,1321,1445,680,615,752,626,
120,1268,1436,856,609,684,626,
120,1591,1368,669,644,707,576,
120,1509,1496,850,630,704,678,
120,1505,1437,896,640,752,606,
120,1526,1605,902,659,829,639,
120,1522,1289,867,600,810,617,
120,1445,1483,1009,625,754,616,
120,1509,1320,615,611,701,620,
120,1362,1571,742,654,758,644,
120,1428,1563,922,673,730,635,
120,1473,1522,756,616,734,673,
120,1408,1522,933,602,740,634,
120,1480,1579,1003,708,754,619,
120,1401,1543,656,642,728,669,
120,1431,1305,566,623,685,571,
120,1552,1278,743,702,774,662,
120,1373,1376,780,605,757,604,
120,1545,1280,1133,645,794,703,
120,1291,1433,728,568,706,641,
120,1327,1414,568,633,721,634,
120,1535,1376,759,667,710,626,
120,1241,1538,673,698,694,672,
120,1324,1413,883,668,686,670,
120,1245,1376,1072,579,701,656,
120,1320,1276,932,661,733,627,
120,1452,1365,651,605,753,644,
120,1366,1137,809,660,710,600,
120,1266,1441,870,601,734,624,
120,1576,1394,694,594,690,548,
120,1279,1343,635,600,728,681,
120,1577,1394,903,659,762,615,
120,1381,1380,847,603,731,679,
120,1316,1264,823,614,712,633,
