qiskit,shp_reduced,multiedge,qiskit_dense,mhs_nonlinear,merging_states
57,927,803,57,396,474
57,863,721,57,421,476
57,933,795,57,436,473
57,877,782,57,399,476
57,903,776,57,356,500
57,856,720,57,391,524
57,955,718,57,367,479
57,792,710,57,360,503
57,867,641,57,420,505
57,990,852,57,405,502
57,878,597,57,368,496
57,879,686,57,406,476
57,874,807,57,412,475
57,848,798,57,391,471
57,760,817,57,380,479
57,807,816,57,408,475
57,980,747,57,377,496
57,832,676,57,402,469
57,809,555,57,391,472
57,924,845,57,360,477
57,952,704,57,412,486
57,892,733,57,388,506
57,912,655,57,400,475
57,1034,755,57,453,474
57,978,657,57,414,501
57,1025,683,57,390,503
57,1071,767,57,404,499
57,877,722,57,410,500
57,901,681,57,410,523
57,822,724,57,413,478
57,915,844,57,404,474
57,1046,745,57,386,494
57,935,632,57,406,547
57,881,630,57,363,495
57,861,688,57,422,476
57,857,755,57,379,475
57,963,657,57,389,526
57,913,760,57,391,498
57,919,717,57,405,499
57,967,789,57,418,498
57,864,730,57,420,498
57,961,644,57,392,474
57,898,735,57,406,480
57,897,783,57,422,478
57,907,791,57,388,506
57,982,633,57,345,496
57,823,731,57,410,494
57,995,720,57,407,473
57,847,613,57,395,503
57,884,846,57,398,476
57,802,683,57,401,476
57,785,731,57,393,499
57,927,865,57,393,498
57,795,661,57,407,473
57,896,669,57,440,498
57,954,835,57,415,475
57,937,783,57,410,492
57,999,766,57,407,508
57,826,831,57,376,499
57,939,828,57,409,476
57,762,761,57,401,498
57,940,726,57,406,484
57,926,857,57,392,498
57,853,616,57,430,472
57,827,792,57,410,471
57,893,575,57,437,499
57,1019,900,57,399,471
57,878,710,57,375,517
57,928,821,57,441,500
57,889,613,57,373,493
57,1007,679,57,392,473
57,937,906,57,407,477
57,840,740,57,406,493
57,861,687,57,423,500
57,817,739,57,448,504
57,859,751,57,391,481
57,843,660,57,421,474
57,879,736,57,406,497
57,882,737,57,406,498
57,818,639,57,393,480
57,886,808,57,403,473
57,964,712,57,375,502
57,981,847,57,396,494
57,1039,522,57,368,481
57,1162,676,57,421,480
57,783,693,57,428,472
57,901,720,57,391,472
57,815,800,57,425,497
57,788,842,57,403,471
57,950,784,57,392,504
57,850,627,57,389,474
57,906,774,57,418,475
57,985,566,57,374,483
57,918,856,57,373,471
57,880,756,57,372,497
57,914,885,57,412,472
57,819,770,57,394,475
57,873,752,57,376,498
57,986,790,57,359,497
57,794,686,57,414,479
57,893,774,57,412,495
57,928,800,57,371,478
57,1012,608,57,443,471
57,908,741,57,387,472
57,789,726,57,446,474
57,854,681,57,389,469
57,944,681,57,388,514
57,830,719,57,465,495
57,894,689,57,410,493
57,833,705,57,393,475
57,884,639,57,418,477
57,855,750,57,392,475
57,777,721,57,408,471
57,997,793,57,391,473
57,839,781,57,389,474
57,743,697,57,381,503
57,904,651,57,426,517
57,871,782,57,408,534
57,959,832,57,437,473
57,982,692,57,422,519
57,869,652,57,409,474
57,965,735,57,403,493
57,811,697,57,414,470
57,979,553,57,375,528
57,798,656,57,402,497
57,875,743,57,386,499
57,955,686,57,410,473
57,994,726,57,421,472
57,1012,743,57,376,474
57,910,701,57,409,506
57,870,711,57,376,501
57,913,745,57,402,500
57,823,557,57,390,472
57,830,700,57,423,523
57,971,824,57,409,500
57,908,642,57,437,510
57,776,671,57,392,480
57,905,890,57,398,492
57,922,636,57,423,529
57,865,737,57,391,474
57,799,673,57,404,470
57,884,714,57,404,499
57,818,761,57,390,477
57,881,804,57,433,477
57,802,599,57,357,481
57,922,714,57,395,522
57,887,838,57,423,504
57,916,678,57,430,498
57,961,673,57,359,472
57,769,718,57,408,474
57,803,653,57,389,497
57,866,666,57,399,503
57,925,760,57,415,515
57,925,601,57,427,473
57,1032,667,57,443,474
57,844,757,57,391,501
57,821,1014,57,411,475
57,919,649,57,371,475
57,810,753,57,409,504
57,874,752,57,365,497
57,949,764,57,394,497
57,834,751,57,429,495
57,1026,635,57,397,511
57,970,830,57,416,477
57,831,615,57,423,499
57,997,741,57,407,472
57,869,848,57,407,473
57,1015,571,57,399,497
57,993,640,57,367,480
57,936,763,57,390,473
57,823,725,57,374,473
57,947,747,57,426,505
57,833,803,57,369,477
57,957,747,57,378,496
57,821,728,57,395,490
57,906,875,57,447,502
57,981,843,57,391,474
57,819,786,57,416,474
57,883,827,57,444,470
57,929,597,57,393,477
57,883,831,57,455,474
57,881,734,57,438,488
57,992,790,57,408,522
57,812,728,57,407,494
57,899,665,57,414,518
57,940,646,57,461,524
57,880,725,57,412,505
57,878,789,57,392,470
57,998,739,57,422,475
57,954,697,57,406,502
57,939,684,57,427,476
57,958,724,57,383,502
57,1000,847,57,380,506
57,863,646,57,426,524
57,873,714,57,420,487
57,919,861,57,421,472
57,915,734,57,425,473
57,1017,768,57,389,474
57,917,735,57,361,495
57,945,908,57,403,492
57,958,648,57,414,498
57,990,656,57,391,502
57,902,787,57,395,494
57,1054,694,57,387,476
57,930,689,57,384,498
57,866,887,57,423,514
57,889,734,57,419,517
57,1018,761,57,419,468
57,989,679,57,375,496
57,896,685,57,386,507
57,895,659,57,373,501
57,1005,731,57,444,490
57,911,669,57,441,490
57,939,696,57,443,476
57,864,706,57,386,474
57,1029,638,57,453,498
57,874,798,57,424,495
57,891,683,57,443,476
57,933,839,57,393,479
57,854,861,57,392,475
57,1022,614,57,403,496
57,975,625,57,409,471
57,911,692,57,416,474
57,853,736,57,420,542
57,817,706,57,387,483
57,977,776,57,398,498
57,945,758,57,457,497
57,902,707,57,431,499
57,769,838,57,408,473
57,826,744,57,433,502
57,831,702,57,405,468
57,835,632,57,448,513
57,857,664,57,411,477
57,746,668,57,390,477
57,961,754,57,411,524
57,922,639,57,423,477
57,848,685,57,384,522
57,955,767,57,397,497
57,856,719,57,409,496
57,1002,759,57,400,502
57,1019,684,57,405,474
57,907,629,57,376,479
57,991,680,57,409,518
57,818,799,57,372,473
57,818,778,57,416,482
57,804,792,57,388,479
57,1005,651,57,421,472
57,872,720,57,395,504
57,896,599,57,392,502
57,819,833,57,401,469
57,897,818,57,427,473
57,799,739,57,388,478
57,947,672,57,418,479
57,899,648,57,356,469
57,818,787,57,447,504
57,891,690,57,378,499
57,951,666,57,359,479
57,884,635,57,414,469
57,954,677,57,399,500
57,867,641,57,425,500
57,789,798,57,392,481
57,952,721,57,441,501
57,946,801,57,414,471
57,883,744,57,412,503
57,982,701,57,388,527
57,851,736,57,423,473
57,857,746,57,437,478
57,1069,814,57,422,505
57,888,726,57,404,466
57,1043,622,57,404,492
57,884,704,57,396,470
57,873,691,57,388,471
57,827,724,57,393,477
57,782,626,57,377,472
57,830,823,57,347,500
57,744,774,57,422,497
57,825,908,57,404,502
57,782,647,57,428,467
57,921,749,57,371,499
57,798,736,57,388,503
57,945,659,57,408,476
57,830,704,57,400,474
57,814,732,57,387,499
57,970,769,57,387,476
57,822,715,57,411,479
57,939,794,57,407,483
57,949,673,57,405,500
57,875,802,57,425,500
57,902,758,57,441,500
57,890,706,57,444,501
57,887,865,57,448,478
57,976,677,57,409,475
57,991,760,57,425,471
57,856,747,57,409,504
57,911,577,57,420,497
57,846,792,57,421,514
57,857,855,57,420,516
57,888,657,57,393,499
57,772,656,57,411,480
57,930,803,57,421,473
57,869,670,57,387,498
57,707,596,57,376,476
57,901,849,57,393,499
57,766,715,57,404,497
57,962,657,57,424,499
57,924,736,57,423,497
57,857,751,57,417,480
57,859,790,57,387,543
57,937,728,57,425,468
57,950,714,57,393,495
57,920,629,57,418,469
57,1122,767,57,405,474
57,851,772,57,426,498
57,921,719,57,444,493
57,813,679,57,406,476
57,839,745,57,391,517
57,805,704,57,461,494
57,830,626,57,410,511
57,824,755,57,359,503
57,816,668,57,415,477
57,858,699,57,424,476
57,734,787,57,377,475
57,830,699,57,389,477
57,856,730,57,403,480
57,923,770,57,368,526
57,889,638,57,435,469
57,1046,699,57,404,466
57,905,793,57,388,521
57,855,727,57,371,496
57,740,616,57,377,503
57,957,654,57,391,481
57,958,702,57,445,520
57,880,754,57,418,511
57,786,699,57,417,474
57,1003,832,57,388,508
57,908,683,57,374,477
57,893,847,57,361,512
57,1031,671,57,401,472
57,950,822,57,419,495
57,817,692,57,428,504
57,1025,844,57,425,519
57,886,805,57,375,476
57,914,727,57,373,499
57,922,598,57,421,481
57,860,625,57,421,473
57,927,769,57,380,480
57,996,726,57,428,475
57,923,761,57,402,474
57,1056,768,57,395,493
57,891,740,57,355,476
57,791,754,57,391,475
57,930,631,57,406,474
57,999,863,57,384,498
57,917,775,57,441,489
57,877,708,57,404,513
57,933,753,57,342,473
57,898,739,57,390,477
57,941,909,57,379,468
57,929,896,57,421,473
57,899,798,57,384,500
57,942,742,57,392,524
57,977,756,57,401,500
57,959,692,57,430,488
57,873,809,57,421,476
57,834,686,57,398,529
57,872,748,57,437,500
57,984,719,57,390,473
57,918,804,57,403,468
57,981,697,57,389,496
57,837,650,57,385,468
57,792,748,57,410,498
57,984,749,57,426,482
57,907,752,57,393,500
57,794,826,57,395,486
57,866,797,57,424,475
57,969,718,57,414,475
57,1062,1046,57,443,521
57,890,822,57,388,468
57,993,646,57,385,476
57,1029,720,57,376,471
57,797,859,57,425,475
57,850,666,57,372,508
57,943,959,57,394,516
57,772,742,57,403,472
57,888,736,57,373,469
57,916,700,57,377,476
57,824,743,57,407,478
57,753,656,57,397,498
57,1011,815,57,420,507
57,918,677,57,405,493
57,919,716,57,425,470
57,968,748,57,412,470
57,882,655,57,396,510
57,858,867,57,372,492
57,797,689,57,401,499
57,911,874,57,419,499
57,889,749,57,376,476
57,924,636,57,427,497
57,834,809,57,408,524
57,932,690,57,423,470
57,904,703,57,376,471
57,912,773,57,426,544
57,887,808,57,373,477
57,949,715,57,388,494
57,761,740,57,424,514
57,878,749,57,404,478
57,970,747,57,375,503
57,991,652,57,381,478
57,886,699,57,393,495
57,783,766,57,406,474
57,1027,789,57,394,499
57,923,746,57,389,470
57,803,719,57,388,472
57,836,745,57,408,525
57,930,838,57,379,498
57,927,766,57,358,524
57,936,770,57,389,485
57,905,762,57,403,469
57,994,647,57,386,473
57,832,592,57,409,498
57,754,726,57,423,544
57,935,698,57,376,469
57,854,611,57,386,498
57,957,735,57,374,468
57,926,729,57,408,495
57,790,641,57,375,501
57,1031,857,57,394,476
57,855,811,57,369,502
57,887,742,57,426,529
57,791,804,57,391,502
57,876,702,57,374,466
57,937,868,57,392,468
57,807,718,57,375,473
57,878,544,57,362,473
57,769,715,57,408,499
57,1000,725,57,408,475
57,864,794,57,423,477
57,816,758,57,375,506
57,936,642,57,390,502
57,790,770,57,418,477
57,978,729,57,418,503
57,894,747,57,383,475
57,895,666,57,423,474
57,805,691,57,392,471
57,965,629,57,381,477
57,839,681,57,436,500
57,931,708,57,389,476
57,847,703,57,420,500
57,878,812,57,405,536
57,807,811,57,437,476
57,856,552,57,371,471
57,869,763,57,480,523
57,936,744,57,409,491
57,803,628,57,411,500
57,841,699,57,355,501
57,949,811,57,409,499
57,869,685,57,419,470
57,866,648,57,417,474
57,704,636,57,411,492
57,929,797,57,367,477
57,992,869,57,368,472
57,885,865,57,375,503
57,887,722,57,422,472
57,994,786,57,434,472
57,846,760,57,427,475
57,877,774,57,391,521
57,846,785,57,418,473
57,860,821,57,388,472
57,836,720,57,425,470
57,857,655,57,426,472
57,878,678,57,393,477
57,845,771,57,381,477
57,948,593,57,401,503
57,965,772,57,436,498
57,830,671,57,441,476
57,878,737,57,423,471
57,957,746,57,424,472
57,880,713,57,375,490
57,795,729,57,389,477
57,868,823,57,378,478
57,1041,796,57,422,465
57,835,876,57,424,516
57,951,678,57,439,480
57,1031,730,57,417,472
57,808,582,57,387,475
57,849,546,57,388,503
57,948,598,57,393,505
57,923,776,57,410,494
57,942,713,57,406,492
57,974,889,57,428,526
57,776,630,57,403,476
57,892,648,57,377,473
57,885,884,57,391,498
57,808,668,57,395,497
57,822,808,57,411,473
57,978,735,57,393,473
57,812,726,57,389,496
57,949,679,57,418,473
57,916,755,57,410,492
57,879,796,57,442,501
57,868,744,57,422,498
57,976,708,57,407,500
57,932,670,57,376,531
57,827,759,57,429,469
57,949,714,57,439,498
57,767,620,57,371,501
57,716,890,57,393,497
57,856,691,57,388,471
57,901,743,57,391,478
57,946,724,57,433,527
57,894,810,57,434,504
57,958,706,57,439,480
57,873,715,57,399,525
57,827,753,57,387,494
57,907,792,57,408,466
57,754,765,57,384,491
57,778,677,57,434,475
57,964,718,57,409,505
57,783,800,57,391,502
57,858,799,57,434,502
57,1005,829,57,401,498
57,1011,633,57,371,494
57,964,923,57,403,505
57,1098,719,57,380,473
57,920,956,57,407,499
57,734,841,57,420,502
57,955,711,57,372,477
57,913,758,57,439,506
57,917,756,57,368,475
57,848,639,57,373,523
57,857,785,57,406,500
57,843,664,57,388,514
57,953,800,57,386,474
57,837,839,57,442,506
57,960,697,57,405,497
