qiskit,shp_reduced,shp,random,random_reduced,mst,mst_reduced,linear,linear_reduced,graycode_reduced,qiskit_dense,multiedge_dense,multiedge
2036,122,3247,3262,163,3240,112,3260,133,153,142,344,141
2022,85,3230,3258,164,3221,92,3236,110,169,134,321,146
2036,125,3245,3269,162,3236,121,3250,124,153,124,324,122
2036,123,3247,3280,155,3234,97,3271,134,160,117,352,143
2036,93,3237,3255,171,3232,106,3259,142,137,116,319,151
2034,105,3239,3272,193,3230,109,3268,143,129,120,364,142
2036,128,3243,3300,161,3227,96,3283,143,134,120,300,151
2036,120,3250,3279,225,3237,118,3259,124,140,164,361,145
2036,97,3245,3262,160,3231,111,3265,138,132,151,365,170
2036,93,3239,3276,155,3236,117,3265,152,141,143,391,123
2036,108,3241,3266,171,3232,103,3253,131,123,147,412,133
2036,122,3251,3276,190,3240,124,3252,115,136,107,350,149
2034,117,3251,3268,146,3240,128,3257,113,131,113,382,154
2036,112,3252,3286,148,3242,129,3260,115,121,125,360,138
2036,109,3251,3276,191,3243,129,3258,110,135,152,374,160
2036,112,3242,3267,135,3234,100,3255,131,107,130,381,135
2036,112,3243,3286,165,3240,121,3270,135,103,141,407,139
2036,106,3241,3269,149,3233,115,3269,131,111,150,375,145
2036,109,3235,3245,179,3231,88,3258,154,115,141,297,144
2036,133,3237,3272,170,3230,135,3256,159,156,118,349,153
2036,112,3246,3261,132,3245,108,3269,143,133,128,484,169
1920,122,3252,3277,142,3239,121,3269,120,136,143,360,175
2036,95,3237,3284,182,3232,114,3267,153,145,156,327,157
2036,107,3241,3269,152,3230,92,3266,141,169,138,341,144
2036,96,3238,3279,142,3234,117,3258,123,156,172,312,128
2024,93,3231,3264,170,3226,93,3259,117,101,124,362,171
2036,106,3245,3299,165,3237,110,3259,121,137,126,336,154
1976,104,3237,3264,167,3229,99,3257,142,87,98,306,124
2036,97,3239,3279,167,3229,112,3248,117,112,148,309,154
2036,93,3238,3276,160,3235,107,3261,167,134,132,464,163
2036,98,3235,3276,175,3231,96,3248,103,139,137,369,148
2036,103,3236,3275,164,3229,118,3248,121,134,130,349,145
2036,110,3246,3259,164,3236,107,3275,140,128,171,339,145
2036,121,3244,3271,193,3238,131,3260,126,143,147,419,168
2036,111,3246,3272,191,3236,114,3267,134,145,123,358,131
2036,95,3238,3252,146,3230,127,3264,128,112,124,317,142
