qiskit,shp_reduced,gleinig,greedy_linear
120,2229,1218,2050
120,2341,1226,2057
120,1949,1224,1754
120,2181,1265,2020
120,2466,1183,1906
120,2084,1205,1992
120,2411,1202,1798
120,2291,1233,2152
120,1904,1181,1957
120,2558,1253,2044
120,2213,1244,2072
120,1892,1161,2238
120,2157,1206,2088
120,2054,1239,2015
120,2126,1195,1948
120,2288,1257,2081
120,2319,1229,1970
120,2094,1179,1855
120,1842,1247,1844
120,2149,1210,2020
120,2048,1272,2043
120,2349,1202,2038
120,2132,1222,1997
120,2018,1255,2116
120,2531,1230,2131
120,2368,1194,1976
120,2314,1227,1950
120,2056,1260,1904
120,2267,1163,2080
120,2016,1196,2034
120,2121,1255,1901
120,2314,1201,2214
120,2516,1204,2106
120,2341,1231,1942
120,2307,1200,2046
120,2215,1275,2027
120,2043,1200,1817
120,2356,1228,2156
120,2409,1184,1977
120,2096,1207,2100
120,2154,1247,2014
120,2330,1176,1986
120,2215,1183,1950
120,2137,1267,1912
120,2391,1157,2256
120,2361,1251,2059
120,2261,1244,1924
120,2169,1309,1995
120,2303,1256,1814
120,2298,1201,2216
120,2267,1199,2139
120,2377,1223,2042
120,2200,1213,1922
120,2212,1228,1936
120,2336,1183,2261
120,2059,1202,1998
120,2206,1277,1976
120,2184,1244,1765
120,2047,1205,1853
120,2044,1271,1868
120,2311,1211,2004
120,2241,1238,1825
120,2313,1255,2105
120,2339,1229,2227
120,2255,1178,1937
120,2334,1202,2062
120,2422,1240,1967
120,2316,1298,1896
120,2216,1264,1821
120,2098,1271,2203
120,2005,1202,1972
120,2171,1233,1957
120,2079,1202,2033
120,2182,1244,1824
120,2212,1228,1840
120,2338,1165,2149
120,2037,1237,2205
120,2105,1216,2044
120,2212,1172,2153
120,2076,1232,1898
120,2231,1218,2012
120,2376,1204,2073
120,2268,1229,1945
120,2606,1289,2103
120,2231,1234,1901
120,2446,1223,1981
120,2196,1264,2120
120,1767,1200,1966
120,2444,1236,2285
120,2194,1262,2107
120,2302,1235,2010
120,1849,1239,1815
120,2096,1254,2131
120,2463,1174,2157
120,2222,1242,2060
120,2348,1224,1819
120,2187,1209,1834
120,2113,1207,2084
120,2362,1212,2005
120,2076,1227,2136
120,2131,1254,1936
120,2358,1249,2031
120,2210,1299,2065
120,2281,1175,1828
120,2298,1198,1935
120,2178,1202,1999
120,2333,1208,1886
120,2038,1280,1936
120,2463,1177,1707
120,2124,1260,1964
120,2117,1211,1991
120,2472,1176,2182
120,2409,1179,2071
120,1959,1231,2052
120,2223,1175,2113
120,2131,1176,2066
120,2488,1267,1895
120,2244,1224,1969
120,2466,1175,2150
120,2371,1200,1789
120,2352,1234,2018
120,2032,1221,2117
120,2348,1280,1912
120,2444,1204,2141
120,2333,1220,2050
120,2422,1232,2228
120,2444,1270,2149
120,2134,1230,2168
120,2009,1205,2201
120,2387,1202,2014
120,2314,1207,2062
120,2336,1226,2056
120,2383,1273,1951
120,2138,1260,1806
120,2283,1253,2193
120,2332,1154,2217
120,2210,1216,2172
120,2127,1228,2038
120,2075,1233,2015
120,2377,1224,1902
120,2074,1229,1921
120,2146,1249,2211
120,2332,1306,1994
120,2437,1136,1862
120,2262,1170,1876
120,1999,1223,1944
120,1874,1256,2148
120,2244,1211,2101
120,2234,1209,1977
120,2218,1177,2051
120,2250,1279,2092
120,2355,1200,1891
120,2359,1229,2117
120,2242,1257,1878
120,1923,1201,1938
120,2373,1225,1924
120,2360,1246,2168
120,2353,1208,1829
120,2232,1257,1998
120,2128,1172,2084
120,2245,1260,2191
120,2040,1230,2108
120,2495,1197,2144
120,2497,1203,2019
120,2408,1274,1956
120,2307,1205,1947
120,2348,1184,2188
120,2434,1274,1917
120,2439,1200,2098
120,2325,1221,1957
120,2376,1200,2049
120,2047,1175,2072
120,2209,1204,1976
120,2242,1195,2080
120,2413,1184,1782
120,2296,1149,1978
120,1985,1239,1982
120,2296,1212,2063
120,2320,1272,1885
120,2292,1182,1922
120,2186,1221,2090
120,2082,1154,2073
120,2403,1280,1814
120,2224,1203,2030
120,2180,1206,1836
120,2261,1218,2088
120,2127,1254,1942
120,2334,1205,2056
120,2240,1170,2104
120,2128,1239,1868
120,2277,1256,2023
120,2219,1257,1921
120,2339,1222,2091
120,2265,1254,1906
120,2381,1174,2027
120,2099,1200,1698
120,2276,1236,1968
120,2421,1224,2108
120,2074,1215,1850
120,2037,1221,2076
120,2124,1221,1946
120,2183,1199,1876
120,2219,1229,1943
120,2345,1207,2010
120,2353,1243,2169
120,2135,1257,2054
120,2439,1198,2019
120,2109,1242,2041
120,2217,1216,2066
120,2240,1277,1884
120,2296,1203,2056
120,2190,1212,1833
120,2384,1230,2114
120,2027,1232,1909
120,2337,1253,2101
120,2256,1201,2099
120,2100,1257,2034
120,2042,1301,1959
120,2197,1255,2299
120,2190,1204,2153
120,2338,1222,2065
120,2029,1181,2032
120,2237,1176,2020
120,2155,1247,1904
120,2387,1229,1989
120,2080,1185,2071
120,2135,1253,2153
120,2249,1256,2245
120,2337,1233,1892
120,2455,1183,1907
120,2078,1206,2213
120,2435,1229,1999
120,2115,1231,1845
120,2493,1260,2021
120,2187,1205,2062
120,2373,1234,1912
120,2315,1248,2169
120,2349,1259,1964
120,2195,1170,2071
120,2557,1179,2064
120,2461,1261,2109
120,2162,1340,1937
120,2003,1195,2000
120,2105,1206,2065
120,2375,1250,2074
120,2479,1204,2141
120,2233,1136,2080
120,2157,1232,2080
120,1964,1208,2058
120,2290,1164,2169
120,2463,1199,2123
120,2227,1197,1902
120,2299,1248,1972
120,1982,1258,1867
120,2406,1223,1829
120,2471,1186,2052
120,2206,1275,1964
120,2200,1171,1878
120,2372,1237,1815
120,2251,1165,2005
120,2170,1237,2130
120,2185,1209,1958
120,2186,1161,1807
120,2163,1253,2102
120,2130,1211,1891
120,2144,1243,1924
120,2134,1260,2090
120,2559,1299,1904
120,2122,1201,2100
120,1925,1230,2072
120,1901,1204,2118
120,2287,1217,2105
120,2195,1196,1967
120,2236,1221,2161
120,2273,1223,1966
120,2226,1250,1990
120,2130,1202,1769
120,2261,1226,2205
120,2174,1183,2106
120,2238,1210,2040
120,2437,1176,2004
120,2385,1206,2085
120,2017,1189,2095
120,2276,1131,2051
120,2245,1283,2184
120,2211,1254,2031
120,2463,1225,1956
120,2142,1225,2059
120,2117,1308,2200
120,2262,1163,2298
120,2274,1204,2081
